ghsa,cve,severity,cvss,cvss_version,cvss_source,published,global_published,globally_indexed,repo,project_id,org,role,co_credited,summary,advisory_url,cve_url,class,ecosystem,cwe,last_checked,tldr,fixed_in,fix_pr
GHSA-ggg4-v8vp-jxqh,CVE-2026-77308,critical,,,,2026-07-10,,no,in-toto/witness,in-toto/witness,in-toto,reporter,jkjell (remediation_developer),CI/CD secret exfiltration via .witness.yaml auto-load in untrusted repository,https://github.com/in-toto/witness/security/advisories/GHSA-ggg4-v8vp-jxqh,https://www.cve.org/CVERecord?id=CVE-2026-77308,Secret exfiltration,Go,CWE-15,2026-09-06,"Witness automatically loaded repository-local configuration before commands. An untrusted pull request could redirect attestation uploads and disable sensitive-variable filtering, exposing environment secrets available to a CI job that ran witness on that checkout.",github.com/in-toto/witness: v0.11.0,
GHSA-88v8-jcjq-95w5,,high,,,,2026-07-10,,no,in-toto/witness,in-toto/witness,in-toto,reporter,jkjell (remediation_developer),Intermediate CA certificates never loaded - policyRoots overwritten instead of policyIntermediates appended,https://github.com/in-toto/witness/security/advisories/GHSA-88v8-jcjq-95w5,,Certificate validation,Go,CWE-296,2026-09-06,Certificate-loading code assigned intermediate certificates to the root pool instead of the intermediate pool. Verification failed for affected intermediate-CA hierarchies; deployments using certificates signed directly by a configured root were unaffected.,github.com/in-toto/witness: v0.11.0,
GHSA-6xq9-h39h-jc22,,low,,,,2026-07-10,,no,in-toto/go-witness,in-toto/go-witness,in-toto,reporter,jkjell (remediation_developer),Intermediate CA certificates never loaded due to self-append no-op in policyverify,https://github.com/in-toto/go-witness/security/advisories/GHSA-6xq9-h39h-jc22,,Certificate validation,Go,CWE-296,2026-09-06,Policy verification appended the intermediate pool to itself instead of loading certificates from the trust bundle. Attestations requiring an intermediate CA failed verification; the failure was closed and did not accept unverified attestations.,github.com/in-toto/go-witness: >= v0.10.0,
GHSA-mh8x-fppq-cp77,CVE-2026-34168,high,8.8,3.1,maintainer advisory,2026-07-02,,no,coollabsio/coolify,coollabsio/coolify,coollabsio,reporter,,Command injection via unsanitized persistent storage name in docker volume commands,https://github.com/coollabsio/coolify/security/advisories/GHSA-mh8x-fppq-cp77,https://www.cve.org/CVERecord?id=CVE-2026-34168,Command injection,PHP,CWE-78,2026-09-06,Persistent-volume names entered shell commands without escaping during resource deletion. An authenticated API token holder able to configure storage could arrange command execution as root on managed servers when the affected resource was deleted.,coollabsio/coolify: 4.0.0-beta.471,
GHSA-p3j5-5hrq-p75h,CVE-2026-58254,medium,5.3,4.0,CVE CNA record,2026-06-29,,no,nats-io/nats-server,nats-io/nats-server,nats-io,reporter,,Incomplete fix for CVE-2026-33249: Leaf node connections bypass Nats-Trace-Dest permission check,https://github.com/nats-io/nats-server/security/advisories/GHSA-p3j5-5hrq-p75h,https://www.cve.org/CVERecord?id=CVE-2026-58254,Authorization bypass,Go,CWE-863,2026-09-06,"Trace-destination permissions were not consistently checked for traffic arriving over leafnode connections. A leafnode operator could direct trace events to disallowed subjects, exposing routing and account metadata, and suppress normal message delivery.","github.com/nats-io/nats-server/v2: 2.14.3, 2.12.8",
GHSA-4g68-3pwx-5vfj,CVE-2026-58214,medium,4.3,3.1,maintainer advisory,2026-06-29,,no,nats-io/nats-server,nats-io/nats-server,nats-io,reporter,,MQTT subscribe ACL bypass via $MQTT.deliver.pubrel prefix (incomplete fix for CVE-2026-33217),https://github.com/nats-io/nats-server/security/advisories/GHSA-4g68-3pwx-5vfj,https://www.cve.org/CVERecord?id=CVE-2026-58214,Authorization bypass,Go,CWE-863,2026-09-06,An internal-subject restriction omitted the MQTT delivery PUBREL family. Authenticated MQTT clients could bypass subscribe permissions and receive account-local QoS2 protocol metadata; the published impact did not include message payload disclosure.,"github.com/nats-io/nats-server/v2: 2.14.3, 2.12.8",
GHSA-3g5q-cfh2-cq67,CVE-2026-58250,high,8.6,3.1,maintainer advisory,2026-06-29,,no,nats-io/nats-server,nats-io/nats-server,nats-io,reporter,,Pre-auth server crash via double INFO in leafnode handshake — incomplete fix for CVE-2026-29785 and CVE-2026-33218,https://github.com/nats-io/nats-server/security/advisories/GHSA-3g5q-cfh2-cq67,https://www.cve.org/CVERecord?id=CVE-2026-58250,Denial of service,Go,CWE-476,2026-09-06,Repeated pre-authentication leafnode INFO messages could leave handshake state unset and crash the server. Exploitation required access to a leafnode listener with compression enabled; disabling that compression mitigated the affected path.,"github.com/nats-io/nats-server/v2: 2.12.8, 2.11.17",
GHSA-xqxv-4jc2-x56x,CVE-2026-55672,high,7.4,3.1,maintainer advisory,2026-06-17,2026-06-18,yes,zitadel/zitadel,zitadel/zitadel,zitadel,reporter,grvijayan (remediation_developer);IAM-marco (remediation_reviewer);livio-a (other);cipher-creator (reporter);N008x (reporter),Missing client_id binding in OIDC authorization code exchange and refresh token flows (RFC 6749 Section 4.1.3 violation),https://github.com/zitadel/zitadel/security/advisories/GHSA-xqxv-4jc2-x56x,https://www.cve.org/CVERecord?id=CVE-2026-55672,Missing identity binding,Go,CWE-287;CWE-863,2026-09-06,"Authorization-code exchange and token refresh did not bind the grant to its original client. An attacker who obtained a code or refresh token through a separate flaw could redeem it under another client, including across tenants.",ZITADEL: 4.15.2; ZITADEL: 3.4.12,
GHSA-w5cv-pw74-4rxc,CVE-2026-55701,medium,6.9,4.0,GitHub global database,2026-06-15,2026-06-18,yes,open-telemetry/opentelemetry-collector-contrib,open-telemetry/opentelemetry-collector-contrib,open-telemetry,reporter,,githubreceiver silently ignores configured required_headers authentication,https://github.com/open-telemetry/opentelemetry-collector-contrib/security/advisories/GHSA-w5cv-pw74-4rxc,https://www.cve.org/CVERecord?id=CVE-2026-55701,Logic flaw,Go,CWE-863,2026-09-06,"The GitHub receiver validated RequiredHeaders configuration but never enforced it on incoming requests. With the shared secret left at its empty default, callers could submit arbitrary webhook payloads and inject false CI/CD trace data.",github.com/open-telemetry/opentelemetry-collector-contrib/receiver/githubreceiver: >= 0.151.0,
GHSA-7w2h-g83c-jqrp,CVE-2026-53445,high,7.1,4.0,CVE CNA record,2026-05-30,,no,wekan/wekan,wekan/wekan,wekan,reporter,,Authorization bypass in copyBoard DDP method allows any user to copy private boards,https://github.com/wekan/wekan/security/advisories/GHSA-7w2h-g83c-jqrp,https://www.cve.org/CVERecord?id=CVE-2026-53445,Authorization bypass,JavaScript,CWE-862,2026-09-06,"The copyBoard method did not verify board membership or administrator rights. A logged-in user could copy a private board and its cards and checklists, then make the resulting copy public through supplied properties.",wekan/wekan: 9.09,
GHSA-9h96-c44j-jpq9,,high,,,,2026-05-19,,no,strukturag/libheif,strukturag/libheif,strukturag,reporter,,Heap buffer overflow via uint32_t stride overflow in image plane allocation (+ 2 additional instances),https://github.com/strukturag/libheif/security/advisories/GHSA-9h96-c44j-jpq9,,Heap buffer overflow,C++,CWE-122;CWE-190,2026-09-06,"A 32-bit stride calculation could wrap for large image widths, allocating an undersized plane. Processing a crafted HEIF or AVIF image could then overflow the heap, crashing or potentially compromising the consuming application.",libheif: v1.22.0,
GHSA-w5pp-99ch-qj29,,medium,6.5,3.1,maintainer advisory,2026-05-18,2026-05-29,yes,go-git/go-git,go-git/go-git,go-git,reporter,hiddeco (remediation_developer);N0zoM1z0 (reporter);AyushParkara (reporter),Malformed Git object data may cause panics or resource exhaustion,https://github.com/go-git/go-git/security/advisories/GHSA-w5pp-99ch-qj29,,Denial of service,Go,CWE-400,2026-09-06,"Crafted pack, index, or loose-object data could cause panics or excessive resource use. Applications cloning, fetching, or opening untrusted repositories were exposed through a malicious remote or attacker-controlled files under .git/objects.",github.com/go-git/go-git/v5: 5.19.1; github.com/go-git/go-git/v6: 6.0.0-alpha.4,
GHSA-qp9x-wp8f-qgjj,,medium,4.0,3.1,maintainer advisory,2026-05-18,2026-05-28,yes,theupdateframework/python-tuf,theupdateframework/python-tuf,theupdateframework,reporter,,Platform-dependent delegation path matching,https://github.com/theupdateframework/python-tuf/security/advisories/GHSA-qp9x-wp8f-qgjj,,Delegation confusion,Python,CWE-178,2026-09-06,"Delegation glob matching used platform-dependent case normalization. On Windows, an attacker controlling a delegated role could exploit a case-colliding pattern visited first to serve targets intended for another delegation; POSIX matching was unaffected.",tuf: 7.0.0,
GHSA-4v4x-x5pr-8gp2,CVE-2026-41577,medium,6.9,4.0,CVE CNA record,2026-05-12,,no,goauthentik/authentik,goauthentik/authentik,goauthentik,reporter,Android-Login-Analysis (reporter);AyushParkara (reporter),"SAML source does not validate Conditions, timing, or audience on assertions",https://github.com/goauthentik/authentik/security/advisories/GHSA-4v4x-x5pr-8gp2,https://www.cve.org/CVERecord?id=CVE-2026-41577,Validation bypass,Python,CWE-345,2026-09-06,SAML assertion processing omitted time and audience conditions. An attacker holding a valid signed assertion could replay it after its signed expiry or use an assertion issued for a different service provider.,,
GHSA-765j-qfrp-hm3j,CVE-2026-41050,critical,9.9,3.1,maintainer advisory,2026-04-30,2026-05-07,yes,rancher/fleet,rancher/fleet,rancher,reporter,,Helm impersonation - bypass of `RESTClientGetter` retains `cluster-admin` during template rendering,https://github.com/rancher/fleet/security/advisories/GHSA-765j-qfrp-hm3j,https://www.cve.org/CVERecord?id=CVE-2026-41050,Impersonation bypass,Go,,2026-09-06,Helm lookup and valuesFrom reads bypassed ServiceAccount impersonation and retained fleet-agent privileges. A tenant able to push to a monitored Git repository could read other namespaces’ secrets on targeted downstream clusters; single-tenant deployments were unaffected.,github.com/rancher/fleet: 0.15.1; github.com/rancher/fleet: 0.14.5; github.com/rancher/fleet: 0.13.10; github.com/rancher/fleet: 0.12.14; github.com/rancher/fleet: 0.11.13,
GHSA-w6p7-2fxx-4f44,CVE-2026-43983,high,8.5,4.0,GitHub global database,2026-04-26,2026-07-28,yes,pocket-id/pocket-id,pocket-id/pocket-id,pocket-id,reporter,,"OIDC refresh token flow bypasses authorization revocation, account disabling, and group restrictions",https://github.com/pocket-id/pocket-id/security/advisories/GHSA-w6p7-2fxx-4f44,https://www.cve.org/CVERecord?id=CVE-2026-43983,Authorization bypass,Go,CWE-285;CWE-613,2026-09-06,"Refreshing an OIDC token did not recheck account disabling, authorization revocation, or group restrictions. Holders of an existing refresh token and the required client credentials could continue obtaining tokens after administrators removed access.",github.com/pocket-id/pocket-id/backend: 2.6.0,
GHSA-hp74-gm6m-2qm5,,medium,6.0,4.0,GitHub global database,2026-04-26,2026-07-28,yes,pocket-id/pocket-id,pocket-id/pocket-id,pocket-id,reporter,,Reauthentication bypass via one-time access token login — passkey step-up requirement defeated by JWT freshness check that accepts any login method,https://github.com/pocket-id/pocket-id/security/advisories/GHSA-hp74-gm6m-2qm5,,Authentication bypass,Go,CWE-287,2026-09-06,"The reauthentication fallback checked access-token freshness and a session cookie, but not how login occurred. A stolen one-time access token could therefore satisfy step-up requirements and obtain tokens for protected OIDC clients.",github.com/pocket-id/pocket-id/backend: 2.6.0,
GHSA-x494-mj8g-cj27,CVE-2026-82254,high,8.7,4.0,GitHub global database,2026-04-25,2026-05-05,yes,GitoxideLabs/gitoxide,GitoxideLabs/gitoxide,GitoxideLabs,reporter,,Multiple DoS vectors in gix-pack: unchecked indexing panics and uncapped OOM allocations from crafted pack data,https://github.com/GitoxideLabs/gitoxide/security/advisories/GHSA-x494-mj8g-cj27,https://www.cve.org/CVERecord?id=CVE-2026-82254,Denial of service,Rust,CWE-248;CWE-770,2026-09-06,Unchecked delta indexing and uncapped allocations allowed crafted Git pack data to crash consuming processes. A malicious remote could trigger a truncated-delta panic or excessive allocation during clone and fetch operations.,gix-pack: >= 0.69.0,
GHSA-p3hw-mv63-rf9w,CVE-2026-82253,high,7.5,4.0,GitHub global database,2026-04-25,2026-05-05,yes,GitoxideLabs/gitoxide,GitoxideLabs/gitoxide,GitoxideLabs,reporter,,Submodule name validation bypass + trust inheritance flaw enables path traversal and credential disclosure,https://github.com/GitoxideLabs/gitoxide/security/advisories/GHSA-p3hw-mv63-rf9w,https://www.cve.org/CVERecord?id=CVE-2026-82253,Path traversal,Rust,CWE-22;CWE-200,2026-09-06,"Incomplete submodule-name validation allowed paths to escape .git/modules, while inherited trust skipped ownership checks. Processing attacker-controlled submodule metadata could access unintended Git configuration and disclose credentials; package fix versions differ between published sources.",gix: >= 0.82.0; gix-validate: >= 0.11.1,
GHSA-mm2q-qcmx-gw4w,,high,7.4,4.0,GitHub global database,2026-04-25,2026-05-05,yes,rustfs/rustfs,rustfs/rustfs,rustfs,reporter,,"ListServiceAccount authorizes against wrong admin action, enabling cross-user enumeration and root service account takeover",https://github.com/rustfs/rustfs/security/advisories/GHSA-mm2q-qcmx-gw4w,,Missing authorization,Rust,CWE-863,2026-09-06,"Service-account listing checked the wrong administrative action, and updates omitted an ownership check. A user granted admin:UpdateServiceAccount could enumerate other users’ service-account keys, including root-owned keys, and rotate their secrets.",rustfs: 1.0.0-alpha.98,
GHSA-6x2q-h3cr-8j2h,CVE-2026-41263,medium,6.3,4.0,maintainer advisory,2026-04-24,2026-04-24,yes,traefik/traefik,traefik/traefik,traefik,reporter,,BasicAuth middleware: timing side-channel vulnerability,https://github.com/traefik/traefik/security/advisories/GHSA-6x2q-h3cr-8j2h,https://www.cve.org/CVERecord?id=CVE-2026-41263,Timing side-channel,Go,CWE-208,2026-09-06,"The earlier BasicAuth timing fix resolved its fallback secret to an empty string, avoiding the intended bcrypt work. Repeated authentication timing measurements could distinguish registered usernames from nonexistent ones on a reachable protected route.","Traefik: v2.11.43, v3.6.14, v3.7.0-rc.2",
GHSA-q49m-57vm-c8cc,CVE-2026-41326,critical,8.2,4.0,GitHub global database,2026-04-22,2026-05-04,yes,kata-containers/kata-containers,kata-containers/kata-containers,kata-containers,finder,fitzthum (reporter);calonso-nv (finder);fikriwahab (finder);burgerdev (remediation_developer);danmihai1 (remediation_reviewer);jojimt (remediation_reviewer);fidencio (remediation_reviewer),CopyFile Policy Subversion via Symlinks,https://github.com/kata-containers/kata-containers/security/advisories/GHSA-q49m-57vm-c8cc,https://www.cve.org/CVERecord?id=CVE-2026-41326,Policy subversion,Rust,,2026-09-06,"CopyFile policy checked the destination path but not the symlink target supplied in request data. An untrusted host could redirect writes outside the shared directory and overwrite files inside the guest, including in confidential-container deployments.",Kata Containers: v3.29.0; Confidential Containers: v0.20.0,
GHSA-pfcq-4gjr-6gjm,CVE-2026-40937,medium,0.0,4.0,GitHub global database,2026-04-22,2026-04-22,yes,rustfs/rustfs,rustfs/rustfs,rustfs,reporter,,Missing admin authorization on notification target endpoints allows unauthenticated configuration of event webhooks,https://github.com/rustfs/rustfs/security/advisories/GHSA-pfcq-4gjr-6gjm,https://www.cve.org/CVERecord?id=CVE-2026-40937,Missing authorization,Rust,CWE-862,2026-09-06,"Notification-target handlers authenticated callers but omitted administrator authorization. A read-only user could overwrite known targets, redirect bucket events to a controlled webhook, and make the server probe internal endpoints through target health checks.",rustfs: 1.0.0-alpha.94,
GHSA-gj49-89wh-h4gj,CVE-2026-41520,high,7.9,3.1,maintainer advisory,2026-04-22,2026-04-25,yes,cilium/cilium,cilium/cilium,cilium,reporter,tklauser (remediation_developer),Sensitive information included in cilium-bugtool debug archive,https://github.com/cilium/cilium/security/advisories/GHSA-gj49-89wh-h4gj,https://www.cve.org/CVERecord?id=CVE-2026-41520,Information disclosure,Go,CWE-200;CWE-312,2026-09-06,Debug archives from WireGuard-enabled Cilium nodes included the node’s WireGuard private key. Anyone receiving an affected bugtool archive or sysdump obtained that key; remediation required rotating keys already shared in diagnostic bundles.,cilium-bugtool: 1.17.15; cilium-bugtool: 1.18.9; cilium-bugtool: 1.19.3,
GHSA-wjxp-xrpv-xpff,CVE-2026-40161,high,7.7,3.1,maintainer advisory,2026-04-21,2026-04-21,yes,tektoncd/pipeline,tektoncd/pipeline,tektoncd,reporter,vdemeester (remediation_developer),Git resolver API mode leaks system-configured API token to user-controlled serverURL,https://github.com/tektoncd/pipeline/security/advisories/GHSA-wjxp-xrpv-xpff,https://www.cve.org/CVERecord?id=CVE-2026-40161,Information disclosure,Go,CWE-201,2026-09-06,Git resolver API mode combined a user-supplied server URL with the system-configured Git token when no token parameter was supplied. A tenant able to create TaskRuns could redirect that authenticated request to a controlled server.,"github.com/tektoncd/pipeline: 1.0.2, 1.3.4, 1.6.2, 1.9.3, 1.11.1",
GHSA-rx35-6rhx-7858,CVE-2026-40923,medium,5.4,3.1,maintainer advisory,2026-04-21,2026-04-21,yes,tektoncd/pipeline,tektoncd/pipeline,tektoncd,reporter,vdemeester (remediation_developer);aThorp96 (remediation_reviewer),VolumeMount path restriction bypass via missing filepath.Clean in /tekton/ check,https://github.com/tektoncd/pipeline/security/advisories/GHSA-rx35-6rhx-7858,https://www.cve.org/CVERecord?id=CVE-2026-40923,Validation bypass,Go,CWE-22,2026-09-06,"Volume-mount restrictions compared raw paths without normalization. A Task or TaskRun author could use parent-directory components to mount over protected Tekton locations, allowing replacement of internal results or step scripts.","github.com/tektoncd/pipeline: 1.0.2, 1.3.4, 1.6.2, 1.9.3, 1.11.1",
GHSA-94jr-7pqp-xhcq,CVE-2026-40938,high,7.5,3.1,maintainer advisory,2026-04-21,2026-04-21,yes,tektoncd/pipeline,tektoncd/pipeline,tektoncd,finder,offset (reporter);vdemeester (remediation_developer),Git Resolver Unsanitized Revision Parameter Enables git Argument Injection Leading to RCE,https://github.com/tektoncd/pipeline/security/advisories/GHSA-94jr-7pqp-xhcq,https://www.cve.org/CVERecord?id=CVE-2026-40938,Logic flaw,Go,CWE-88,2026-09-06,The Git resolver passed revision values to git fetch as arguments without separating options. A tenant able to submit ResolutionRequests and predict a pod-local repository path could execute commands and access the resolver’s cluster-wide Secret permissions.,"github.com/tektoncd/pipeline: 1.0.2, 1.3.4, 1.6.2, 1.9.3, 1.11.1",
GHSA-x4mj-7f9g-29h4,CVE-2026-41246,high,8.1,3.1,maintainer advisory,2026-04-20,2026-04-24,yes,projectcontour/contour,projectcontour/contour,projectcontour,reporter,b0b0haha (reporter),Lua code injection via Cookie Path Rewrite Policy,https://github.com/projectcontour/contour/security/advisories/GHSA-x4mj-7f9g-29h4,https://www.cve.org/CVERecord?id=CVE-2026-41246,Code injection,Go,CWE-94,2026-09-06,"Cookie rewrite values entered generated Envoy Lua code without escaping. A user permitted to create or modify HTTPProxy resources could execute Lua in shared Envoy, read its xDS credentials, and potentially access other tenants’ TLS keys.",": v1.33.4, v1.32.5, v1.31.6",
GHSA-h7mw-gpvr-xq4m,CVE-2026-41240,medium,6.0,4.0,GitHub global database,2026-04-20,2026-04-22,yes,cure53/DOMPurify,cure53/DOMPurify,cure53,reporter,,FORBID_TAGS bypassed by function-based ADD_TAGS predicate (asymmetry with FORBID_ATTR fix),https://github.com/cure53/DOMPurify/security/advisories/GHSA-h7mw-gpvr-xq4m,https://www.cve.org/CVERecord?id=CVE-2026-41240,Validation bypass,JavaScript,CWE-183,2026-09-06,Function-based ADD_TAGS handling skipped FORBID_TAGS when the predicate returned true. Configurations combining those options could retain explicitly forbidden elements and their permitted attributes; the corresponding attribute-denylist path already had an earlier fix.,dompurify: 3.4.0,cure53/DOMPurify#1230
