id,project_id,project,org,kind,advisory,date,date_kind,credit_text,what,url,verified,reference_label,reference_url,additional_links,notes
upstream-18,nats-io/nats-server,NATS Server,nats-io,release_note,,2026-06-29,released,Koda Reef in contributors,Non-CVE fixes acknowledged in v2.14.3 and v2.12.12,https://github.com/nats-io/nats-server/releases/tag/v2.14.3,2026-09-06,,,"[{""label"":""Release archive"",""url"":""https://github.com/nats-io/nats-server/releases""},{""label"":""v2.12.12"",""url"":""https://github.com/nats-io/nats-server/releases/tag/v2.12.12""}]",
upstream-19,kubernetes-sigs/headlamp,Headlamp,kubernetes-sigs,release_note,,2026-05-07,released,thanks to Koda Reef for reporting the issue,Host-header validation in v0.42.0,https://github.com/kubernetes-sigs/headlamp/releases/tag/v0.42.0,2026-09-06,,,[],
upstream-20,go-git/go-git,go-git,go-git,advisory_text,,,,"Thanks to @kodareef5, @AyushParkara and @N0zoM1z0 for reporting this to the go-git project in three separate reports",CVE-2026-45571 report,https://github.com/go-git/go-git/security/advisories/GHSA-crhj-59gh-8x96,2026-09-06,,,[],"Named in the advisory body, not its structured credit list."
upstream-21,vim/vim,Vim,vim,authored_merged,,2026-03-29,committed,Authored by kodareef5,Correct the vim_fgets() size bound in patch 9.2.0271; follow-up in 9.2.0272,https://github.com/vim/vim/commit/3c0f800,2026-09-06,,,[],
upstream-22,libevent/libevent,libevent,libevent,release_note,,,,Named in release notes,HTTP header parsing restricted against request smuggling,https://github.com/libevent/libevent/blob/master/ChangeLog,2026-09-06,,,"[{""label"":""GHSA-q39v-w2g7-gr8j"",""url"":""https://github.com/libevent/libevent/security/advisories/GHSA-q39v-w2g7-gr8j""},{""label"":""CVE-2026-63382"",""url"":""https://www.cve.org/CVERecord?id=CVE-2026-63382""}]",Named in the changelog; not counted as a structured advisory credit.
upstream-23,nih-at/libzip,libzip,nih-at,thanks_file,,,,kodareef5,Listed in THANKS,https://github.com/nih-at/libzip/blob/main/THANKS,2026-09-06,,,[],
upstream-24,libjpeg-turbo/libjpeg-turbo,libjpeg-turbo,libjpeg-turbo,issue_fixed,,,,Issue fixed across three commits linked with Fixes #877,Signed-overflow bounds checks across six JNI paths,https://github.com/libjpeg-turbo/libjpeg-turbo/issues/877,2026-09-06,,,[],
upstream-25,goauthentik/authentik,authentik,goauthentik,vendor_doc,,,,Named on the vendor CVE page,SAML NameID truncation in CVE-2026-40165,https://docs.goauthentik.io/security/cves/CVE-2026-40165,2026-09-06,,,[],
upstream-26,tektoncd/pipeline,Red Hat,redhat,errata,GHSA-94jr-7pqp-xhcq,,,Five errata shipped,Downstream propagation of CVE-2026-40938 across OpenShift product lines,https://access.redhat.com/security/cve/CVE-2026-40938,2026-09-06,,,"[{""label"":""RHSA-2026:17546"",""url"":""https://access.redhat.com/errata/RHSA-2026:17546""},{""label"":""RHSA-2026:24359"",""url"":""https://access.redhat.com/errata/RHSA-2026:24359""},{""label"":""RHSA-2026:24484"",""url"":""https://access.redhat.com/errata/RHSA-2026:24484""},{""label"":""RHSA-2026:26519"",""url"":""https://access.redhat.com/errata/RHSA-2026:26519""},{""label"":""RHSA-2026:26538"",""url"":""https://access.redhat.com/errata/RHSA-2026:26538""}]",Downstream fixes; the vendor CVE acknowledgement field does not name a reporter.
upstream-27,richlegrand/bitbang-cli,bitbang-cli,richlegrand,authored_merged,,2026-08-16,merged,PR authored by kodareef5 and merged,Publish a running tmux session as a shareable URL,https://github.com/richlegrand/bitbang-cli/pull/12,2026-09-06,,,[],Ordinary open-source contribution.
upstream-28,richlegrand/bitbang-server,bitbang-server,richlegrand,authored_merged,,2026-08-15,merged,PR authored by kodareef5 and merged,Add bitbang-metrics-dump and a build/test CI workflow,https://github.com/richlegrand/bitbang-server/pull/2,2026-09-06,,,[],Ordinary open-source contribution.
